CID,item_type_id,item_type,size,date,Category,grade,outlet_id,qtym,Net Price,tmtm,division,item_type_id,rm,wire,noc,tlcolt,ecoInd,Area (km)^2,dfc,population,literacy_rate,pcx,uses,appliation group
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2355,900,15730.2,1665,12,186,1,1,4,180,Medium,1364,186.3,1665298,0.326,48.04,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2356,100,1514.76,185,15,186,1,1,6,250,Medium,3414,83.9,4268953,0.41,65.08,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2491,100,1495.34,185,10,186,1,1,4,120,Medium,7,14,179907,0.779,90.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2772,100,1495.34,185,11,186,1,1,3,150,Medium,189,102,330477,0.421,60.06,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3055,300,4369.5,555,16,186,1,1,7,150,Medium,281,303,338563,0.782,52.7,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3179,1500,22721.4,2775,48,558,3,3,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3253,100,1514.76,185,12,186,1,1,4,262,Low,2032,172.2,2816223,0.451,38.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3393,100,1534.18,185,19,186,1,1,4,150,Medium,1145,128.2,1438331,0.505,48,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3519,100,1514.76,185,15,186,1,1,7,130,High,30.46,21,143952,0.5,56.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3552,100,1456.5,185,16,186,1,1,5,100,Poor,390.6,468.6,264389,0.782,22.54,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,3632,200,2990.68,370,12,186,1,1,4,150,Low,2810,154.2,2839136,0.488,34.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),10-08-22,Domestic,Grade1,1003,1800,29130,3330,22,372,2,2,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),10-08-22,Domestic,Grade1,1006,100,1514.76,185,13,186,1,1,7,350,Medium,2567,183.1,3318750,0.429,56.52,Fan & Lighting Connection,General
